Deals
Symbol,Opening Direction,Closing Time (UTC-4),Entry price,Closing Price,Closing Quantity,Net USD,Balance USD
EURUSD,Sell,14 Jul 2025 09:34:39.775,1.16774,1.16807,1.52 Lots,-66.14,933.86
EURJPY,Sell,14 Jul 2025 10:24:19.163,172.197,172.277,0.89 Lots,-57.67,876.19
GBPJPY,Buy,14 Jul 2025 10:55:52.467,198.638,198.339,0.2 Lots,-42.97,833.22
GBPUSD,Sell,14 Jul 2025 20:02:03.188,1.34286,1.34307,1.85 Lots,-61.21,772.01
USDJPY,Buy,14 Jul 2025 22:17:17.292,147.775,147.714,0.83 Lots,-41.76,730.25
EURGBP,Sell,14 Jul 2025 23:23:41.356,0.86886,0.86923,1.35 Lots,-81.29,648.96
EURUSD,Buy,15 Jul 2025 01:22:40.893,1.16720,1.16824,1 Lots,93.48,742.44
EURUSD,Buy,15 Jul 2025 01:22:55.876,1.16720,1.16826,0.47 Lots,44.89,787.33
EURJPY,Sell,15 Jul 2025 01:58:05.982,172.400,172.471,0.9 Lots,-52.75,734.58
EURUSD,Sell,15 Jul 2025 03:32:32.961,1.16817,1.16894,0.66 Lots,-57.76,676.82
GBPJPY,Buy,15 Jul 2025 07:17:14.958,198.277,198.865,0.36 Lots,138.81,815.63
GBPJPY,Buy,15 Jul 2025 09:31:31.120,199.197,199.189,2 Lots,-34.97,780.66
USDJPY,Sell,15 Jul 2025 13:22:06.585,148.903,148.922,1.79 Lots,-38.96,741.70
EURJPY,Buy,15 Jul 2025 20:54:22.561,172.681,172.914,0.95 Lots,138.70,880.40
USDJPY,Buy,16 Jul 2025 01:37:55.500,148.879,148.846,1.32 Lots,-41.14,839.26
EURJPY,Buy,16 Jul 2025 02:21:19.238,172.997,172.831,0.32 Lots,-39.06,800.20
GBPJPY,Buy,16 Jul 2025 02:56:51.654,199.361,199.291,0.74 Lots,-43.77,756.43
GBPUSD,Buy,16 Jul 2025 05:14:18.096,1.33970,1.33884,0.59 Lots,-57.85,698.58
EURUSD,Sell,16 Jul 2025 06:18:09.841,1.16254,1.16097,0.96 Lots,140.68,839.26
EURGBP,Buy,16 Jul 2025 11:18:00.918,0.86665,0.86830,1 Lots,189.58,1 028.84
EURGBP,Buy,16 Jul 2025 11:18:02.050,0.86665,0.86837,0.47 Lots,93.59,1 122.43
EURUSD,Sell,16 Jul 2025 11:54:58.283,1.17128,1.16615,0.66 Lots,331.64,1 454.07
USDJPY,Buy,16 Jul 2025 14:55:17.715,147.678,147.916,0.64 Lots,97.22,1 551.29
EURJPY,Sell,16 Jul 2025 15:08:32.955,172.004,172.074,1.05 Lots,-60.61,1 490.68
EURGBP,Sell,16 Jul 2025 18:00:06.753,0.86725,0.86770,0.93 Lots,-70.93,1 419.75
GBPJPY,Buy,16 Jul 2025 19:21:12.145,198.363,198.267,0.74 Lots,-57.01,1 362.74
EURUSD,Sell,17 Jul 2025 02:18:09.467,1.16238,1.16029,0.75 Lots,148.91,1 511.65
GBPUSD,Sell,17 Jul 2025 02:29:52.025,1.33999,1.33791,0.72 Lots,141.09,1 652.74
GBPUSD,Buy,17 Jul 2025 04:56:15.571,1.33777,1.34073,0.53 Lots,150.49,1 803.23
EURJPY,Sell,17 Jul 2025 06:53:43.590,172.468,172.215,0.85 Lots,135.81,1 939.04
EURJPY,Sell,17 Jul 2025 08:18:59.306,172.259,172.345,0.63 Lots,-42.98,1 896.06
USDJPY,Buy,17 Jul 2025 08:30:01.065,147.909,148.841,0.16 Lots,97.63,1 993.69
EURUSD,Buy,17 Jul 2025 08:30:47.871,1.15776,1.15634,0.37 Lots,-56.40,1 937.29
GBPUSD,Sell,17 Jul 2025 08:43:20.530,1.33928,1.34025,0.52 Lots,-56.71,1 880.58
GBPJPY,Buy,17 Jul 2025 09:35:06.570,199.068,198.982,0.86 Lots,-60.17,1 820.41
USDJPY,Buy,17 Jul 2025 18:42:18.228,148.482,148.340,0.37 Lots,-39.62,1 780.79
EURJPY,Sell,17 Jul 2025 23:32:33.871,172.736,172.853,0.64 Lots,-57.09,1 723.70
GBPJPY,Sell,18 Jul 2025 11:13:46.816,199.771,199.524,0.87 Lots,134.24,1 857.94
USDJPY,Sell,18 Jul 2025 11:47:33.310,148.439,148.514,0.6 Lots,-35.70,1 822.24
GBPUSD,Buy,18 Jul 2025 12:05:16.375,1.34421,1.34334,0.6 Lots,-59.46,1 762.78
GBPJPY,Buy,18 Jul 2025 12:26:45.761,199.555,199.473,0.88 Lots,-59.17,1 703.61
EURJPY,Sell,20 Jul 2025 17:02:00.298,172.948,172.333,0.59 Lots,234.29,1 937.90
GBPJPY,Buy,20 Jul 2025 19:21:00.238,199.357,199.151,0.33 Lots,-49.78,1 888.12
USDJPY,Sell,20 Jul 2025 19:41:59.479,148.425,148.515,0.54 Lots,-37.58,1 850.54
EURJPY,Sell,20 Jul 2025 20:18:01.099,172.753,172.473,0.77 Lots,137.37,1 987.91
USDJPY,Sell,20 Jul 2025 21:45:33.121,148.437,148.519,0.4 Lots,-25.68,1 962.23
GBPJPY,Buy,21 Jul 2025 02:31:22.712,198.767,198.710,0.84 Lots,-42.54,1 919.69
EURJPY,Sell,21 Jul 2025 03:03:21.917,172.270,172.346,0.58 Lots,-35.86,1 883.83
GBPUSD,Buy,21 Jul 2025 07:45:45.972,1.34430,1.34722,0.53 Lots,148.34,2 032.17
GBPUSD,Sell,21 Jul 2025 10:11:52.584,1.34771,1.34869,0.51 Lots,-56.17,1 976.00
EURUSD,Sell,21 Jul 2025 10:55:00.683,1.16663,1.16933,0.19 Lots,-53.50,1 922.50
USDJPY,Buy,21 Jul 2025 12:11:35.419,147.279,147.179,0.5 Lots,-38.47,1 884.03
EURJPY,Sell,21 Jul 2025 16:16:33.493,172.272,172.344,0.81 Lots,-48.08,1 835.95
GBPJPY,Sell,21 Jul 2025 17:01:00.516,198.746,198.951,0.53 Lots,-90.83,1 745.12
GBPUSD,Buy,22 Jul 2025 03:52:45.130,1.34767,1.34646,0.42 Lots,-55.91,1 689.21
EURUSD,Sell,22 Jul 2025 05:58:53.485,1.17026,1.17070,0.58 Lots,-31.63,1 657.58
USDJPY,Buy,22 Jul 2025 07:36:52.431,147.460,147.368,0.52 Lots,-37.14,1 620.44
EURJPY,Sell,22 Jul 2025 07:39:26.484,172.714,172.310,0.55 Lots,145.06,1 765.50
GBPJPY,Buy,22 Jul 2025 08:11:28.283,198.444,198.408,0.7 Lots,-25.63,1 739.87
EURJPY,Sell,22 Jul 2025 08:45:06.910,172.243,171.870,0.6 Lots,145.89,1 885.76
EURJPY,Sell,22 Jul 2025 15:57:07.478,172.106,172.280,0.41 Lots,-53.00,1 832.76
USDJPY,Buy,22 Jul 2025 20:15:04.625,146.755,146.599,0.32 Lots,-36.93,1 795.83
GBPJPY,Sell,23 Jul 2025 01:15:33.193,198.808,198.931,0.4 Lots,-38.32,1 757.51
EURJPY,Buy,23 Jul 2025 06:02:48.862,172.005,171.883,0.57 Lots,-53.48,1 704.03
EURUSD,Buy,23 Jul 2025 06:54:32.561,1.17388,1.17248,0.29 Lots,-43.66,1 660.37
USDJPY,Buy,23 Jul 2025 10:02:54.301,146.604,146.417,0.24 Lots,-32.81,1 627.56
GBPJPY,Sell,23 Jul 2025 17:20:00.647,198.884,199.092,0.37 Lots,-79.53,1 548.03
EURJPY,Buy,23 Jul 2025 19:18:18.999,172.414,172.323,0.71 Lots,-51.67,1 496.36
USDJPY,Sell,24 Jul 2025 04:55:14.525,146.431,146.519,0.56 Lots,-38.67,1 457.69
GBPJPY,Buy,24 Jul 2025 07:03:10.049,198.550,198.403,0.5 Lots,-56.25,1 401.44
EURJPY,Sell,24 Jul 2025 09:06:13.437,172.177,172.402,0.32 Lots,-52.44,1 349.00
USDJPY,Sell,24 Jul 2025 18:01:33.599,146.972,147.239,0.17 Lots,-32.37,1 316.63
GBPJPY,Sell,24 Jul 2025 20:03:03.236,198.652,198.759,0.53 Lots,-44.98,1 271.65
EURJPY,Buy,25 Jul 2025 00:53:56.819,172.870,172.756,0.63 Lots,-55.47,1 216.18
GBPUSD,Buy,25 Jul 2025 03:51:21.395,1.34800,1.34690,0.43 Lots,-52.52,1 163.66
EURUSD,Buy,25 Jul 2025 06:48:59.733,1.17454,1.17303,0.33 Lots,-53.31,1 110.35
GBPJPY,Buy,25 Jul 2025 09:36:29.966,198.502,198.326,0.46 Lots,-60.37,1 049.98
USDJPY,Buy,25 Jul 2025 10:05:43.501,147.637,147.584,0.6 Lots,-26.95,1 023.03
USDJPY,Buy,27 Jul 2025 21:02:46.534,147.726,147.542,0.2 Lots,-26.74,996.29
GBPJPY,Buy,28 Jul 2025 05:12:35.412,198.437,199.049,0.36 Lots,144.19,1 140.48
GBPJPY,Sell,28 Jul 2025 11:29:43.158,198.859,199.016,0.44 Lots,-51.84,1 088.64
EURJPY,Sell,28 Jul 2025 22:29:11.811,172.526,172.013,0.42 Lots,137.53,1 226.17
EURUSD,Sell,29 Jul 2025 06:30:00.366,1.15767,1.15879,0.45 Lots,-55.09,1 171.08
EURUSD,Buy,30 Jul 2025 08:15:02.175,1.15300,1.15174,0.37 Lots,-50.46,1 120.62
USDJPY,Buy,30 Jul 2025 09:46:13.458,147.975,149.100,0.14 Lots,103.71,1 224.33
EURJPY,Sell,30 Jul 2025 14:53:05.695,171.443,170.668,0.31 Lots,155.25,1 379.58
GBPJPY,Buy,30 Jul 2025 21:56:23.872,197.711,197.512,0.36 Lots,-56.60,1 322.98
USDJPY,Sell,30 Jul 2025 22:52:32.871,149.321,148.834,0.32 Lots,101.83,1 424.81
EURJPY,Sell,30 Jul 2025 23:04:36.659,170.700,169.902,0.27 Lots,135.75,1 560.56
EURJPY,Sell,31 Jul 2025 03:19:59.462,170.593,170.813,0.33 Lots,-52.07,1 508.49
USDJPY,Buy,31 Jul 2025 03:44:42.522,148.773,149.640,0.19 Lots,108.36,1 616.85
EURUSD,Buy,31 Jul 2025 06:29:30.957,1.14392,1.14288,0.48 Lots,-54.86,1 561.99
GBPUSD,Sell,01 Aug 2025 04:40:56.963,1.32046,1.31728,0.47 Lots,143.88,1 705.87
GBPJPY,Sell,01 Aug 2025 05:02:27.009,198.808,198.161,0.34 Lots,142.05,1 847.92
GBPJPY,Sell,01 Aug 2025 08:33:51.044,197.788,197.957,0.43 Lots,-53.77,1 794.15
GBPUSD,Sell,01 Aug 2025 09:35:37.248,1.32950,1.33093,0.34 Lots,-52.69,1 741.46
EURUSD,Buy,01 Aug 2025 10:38:11.825,1.15687,1.15584,0.5 Lots,-56.70,1 684.76
USDJPY,Buy,01 Aug 2025 15:12:30.381,147.756,147.707,0.35 Lots,-14.77,1 669.99
EURJPY,Sell,03 Aug 2025 17:15:13.054,170.519,170.809,0.22 Lots,-47.37,1 622.62
USDJPY,Buy,03 Aug 2025 18:00:30.470,147.294,147.163,0.34 Lots,-33.33,1 589.29
EURJPY,Sell,03 Aug 2025 21:32:23.244,170.663,170.810,0.47 Lots,-51.63,1 537.66
GBPUSD,Sell,03 Aug 2025 22:01:49.422,1.32811,1.32791,0.43 Lots,3.46,1 541.12
USDJPY,Sell,04 Aug 2025 03:05:43.083,147.724,147.881,0.31 Lots,-35.71,1 505.41
GBPUSD,Sell,04 Aug 2025 05:19:02.550,1.32816,1.32942,0.39 Lots,-53.80,1 451.61
GBPJPY,Buy,04 Aug 2025 12:03:19.931,195.631,195.401,0.29 Lots,-48.82,1 402.79
USDJPY,Sell,04 Aug 2025 21:06:46.712,146.912,147.092,0.27 Lots,-35.48,1 367.31
EURUSD,Sell,04 Aug 2025 21:37:32.609,1.15802,1.15652,0.42 Lots,58.18,1 425.49
GBPUSD,Buy,04 Aug 2025 23:21:45.978,1.32917,1.32795,0.41 Lots,-54.92,1 370.57
GBPJPY,Buy,05 Aug 2025 06:13:04.483,195.615,196.337,0.31 Lots,147.78,1 518.35
EURUSD,Sell,05 Aug 2025 09:24:18.831,1.15396,1.15499,0.48 Lots,-54.42,1 463.93
EURUSD,Sell,06 Aug 2025 06:07:30.220,1.15788,1.15902,0.45 Lots,-55.99,1 407.94
GBPUSD,Buy,06 Aug 2025 07:20:58.623,1.32920,1.33283,0.41 Lots,143.92,1 551.86
EURGBP,Sell,07 Aug 2025 04:02:38.553,0.87244,0.87408,0.3 Lots,-72.19,1 479.67
EURJPY,Sell,07 Aug 2025 05:05:19.390,171.788,172.007,0.32 Lots,-50.96,1 428.71
USDJPY,Sell,07 Aug 2025 06:00:18.438,147.234,147.368,0.21 Lots,-21.00,1 407.71
GBPUSD,Sell,07 Aug 2025 07:00:07.935,1.33590,1.34050,0.22 Lots,-113.45,1 294.26
GBPJPY,Sell,08 Aug 2025 03:43:20.170,197.879,198.128,0.26 Lots,-52.34,1 241.92
EURGBP,Buy,08 Aug 2025 04:54:53.942,0.86745,0.86632,0.44 Lots,-71.40,1 170.52
EURJPY,Sell,08 Aug 2025 07:02:32.595,171.769,172.007,0.3 Lots,-51.45,1 119.07
GBPJPY,Sell,11 Aug 2025 14:23:56.345,198.637,198.826,0.33 Lots,-46.12,1 072.95
EURJPY,Sell,11 Aug 2025 14:52:58.527,171.781,172.007,0.31 Lots,-50.53,1 022.42
EURUSD,Sell,12 Aug 2025 08:30:06.328,1.16197,1.16380,0.48 Lots,-92.86,929.56
GBPJPY,Sell,12 Aug 2025 22:18:42.700,199.664,199.938,0.26 Lots,-56.47,873.09
GBPUSD,Buy,13 Aug 2025 03:14:15.685,1.34941,1.35391,0.33 Lots,138.75,1 011.84
EURUSD,Sell,14 Aug 2025 04:08:44.262,1.17139,1.16769,0.41 Lots,146.10,1 157.94
USDJPY,Sell,18 Aug 2025 08:42:10.964,147.688,147.748,0.23 Lots,-11.42,1 146.52
EURJPY,Sell,18 Aug 2025 09:18:06.538,172.413,172.602,0.35 Lots,-48.42,1 098.10
EURUSD,Sell,18 Aug 2025 10:48:10.367,1.17100,1.16611,0.31 Lots,148.33,1 246.43
EURUSD,Buy,18 Aug 2025 21:29:38.524,1.16579,1.16471,0.47 Lots,-67.18,1 179.25
GBPUSD,Buy,19 Aug 2025 14:43:16.992,1.34921,1.34791,0.36 Lots,-51.17,1 128.08
USDJPY,Sell,21 Aug 2025 02:44:32.757,147.290,147.569,0.3 Lots,-73.47,1 054.61
EURUSD,Buy,21 Aug 2025 09:45:40.030,1.16379,1.16187,0.22 Lots,-60.68,993.93
GBPUSD,Sell,21 Aug 2025 11:11:10.996,1.34548,1.34141,0.49 Lots,193.50,1 187.43
GBPJPY,Sell,21 Aug 2025 17:44:59.486,198.879,199.097,0.31 Lots,-49.27,1 138.16
GBPJPY,Buy,24 Aug 2025 17:49:40.572,198.621,198.328,0.32 Lots,-69.05,1 069.11
EURUSD,Sell,24 Aug 2025 23:15:01.474,1.16975,1.17048,0.58 Lots,-48.44,1 020.67
USDJPY,Sell,25 Aug 2025 06:12:46.009,147.287,147.397,0.47 Lots,-39.32,981.35
GBPJPY,Sell,25 Aug 2025 06:13:01.957,198.793,198.925,0.52 Lots,-52.88,928.47
EURGBP,Buy,25 Aug 2025 07:26:50.241,0.86653,0.86575,0.64 Lots,-74.17,854.30
EURJPY,Sell,25 Aug 2025 09:16:13.167,172.457,172.569,0.67 Lots,-57.93,796.37
EURGBP,Buy,26 Aug 2025 02:20:12.190,0.86447,0.86378,0.68 Lots,-70.23,726.14
EURJPY,Sell,26 Aug 2025 05:20:30.469,171.614,171.758,0.36 Lots,-38.90,687.24
GBPJPY,Sell,26 Aug 2025 07:04:21.195,198.723,199.000,0.26 Lots,-51.95,635.29
USDJPY,Buy,26 Aug 2025 17:08:58.473,147.353,147.249,0.48 Lots,-39.34,595.95
EURUSD,Buy,27 Aug 2025 03:14:35.791,1.16154,1.16118,0.56 Lots,-26.02,569.93
GBPUSD,Sell,27 Aug 2025 04:15:53.416,1.34596,1.34365,0.65 Lots,142.28,712.21
GBPUSD,Sell,27 Aug 2025 11:03:20.905,1.34405,1.34660,0.2 Lots,-53.42,658.79
EURJPY,Sell,28 Aug 2025 08:50:37.166,171.468,171.686,0.33 Lots,-52.40,606.39
GBPJPY,Sell,28 Aug 2025 20:25:41.267,198.344,198.468,0.57 Lots,-55.02,551.37
GBPUSD,Sell,29 Aug 2025 05:35:38.995,1.35084,1.34670,0.36 Lots,144.67,696.04
GBPUSD,Sell,29 Aug 2025 09:55:54.915,1.34600,1.34681,0.6 Lots,-55.87,640.17
GBPUSD,Sell,31 Aug 2025 20:19:13.439,1.35026,1.35115,0.57 Lots,-57.66,582.51
GBPJPY,Buy,01 Sep 2025 04:10:45.798,198.710,199.081,0.58 Lots,139.17,721.68
,,,,,,-278.32,

Positions
Created (UTC-4),Symbol,Quantity,Direction,Entry,TP,SL,Net USD
01 Sep 2025 04:13:44,EURJPY,0.49 Lots,Buy,172.445,172.889,172.301,—

Transactions
ID,Time (UTC-4),Transaction Type,Payment Type,Gross USD,Note
TID112341130,14 Jul 2025 07:57:31.257,Deposit,Balance operations,1000,

Summary
Deposit,Withdrawal,Total net,Equity,Unr. P&L,Realised P&L,Margin,Free margin,Margin level
1 000.00,0.00,1 000.00,714.11,-7.57,-278.32,114.85,599.26,624.02%

Balance
721.68
